                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75547,                 1.1362,                 1.0538,                0.87186,                0.38467,                0.61468,                0.51195,                0.42461,                0.36071,                0.56422,                0.45846,                0.27849,                0.70757,                 3.5995,                 1.2725,                 0.8467,               0.067786,              0.0003254,              0.0003254
                      2,                0.74752,                 1.1125,                 1.0365,                0.87919,                0.51958,                0.68807,                0.61887,                0.49167,                0.51958,                0.68807,                0.61929,                0.47172,                0.76576,                 1.1619,                 1.1462,                0.86505,               0.034779,             0.00065221,             0.00065221
                      3,                0.76142,                 1.1225,                 1.0132,                0.88027,                0.56569,                0.58553,                0.61643,                 0.5027,                0.56569,                0.58553,                0.61745,                0.45109,                0.70812,                0.92411,                 1.1168,                0.85582,              0.0017661,             0.00097242,             0.00097242
                      4,                0.76518,                  1.111,                 1.0198,                0.87102,                 0.6095,                0.68807,                0.67158,                0.55586,                0.61861,                0.68807,                0.67669,                0.48485,                0.68337,                0.86314,                 1.0191,                0.84138,              0.0009703,              0.0009703,              0.0009703
                      5,                0.76709,                 1.0958,                 1.0106,                0.87603,                0.43476,                0.66055,                0.53169,                0.41238,                0.43778,                0.66514,                0.53452,                0.39583,                0.82512,                0.92451,                 1.1945,                 0.8767,              0.0009703,              0.0009703,              0.0009703
                      6,                0.77451,                 1.0813,                 1.0321,                0.87276,                0.46344,                0.72109,                0.56894,                0.46203,                0.46755,                0.72936,                0.57075,                 0.4138,                0.68108,                0.87835,                 1.2225,                0.84653,              0.0009604,              0.0009604,              0.0009604
                      7,                0.73908,                 1.0543,                0.98608,                0.87302,                0.50947,                0.64795,                0.60831,                0.49718,                0.51308,                0.65254,                0.61108,                0.47499,                0.70806,                0.83476,                 1.0808,                0.84665,              0.0009505,              0.0009505,              0.0009505
                      8,                0.74146,                 1.0978,                0.99597,                0.87189,                0.53342,                0.69266,                0.63002,                 0.5132,                0.53695,                0.69725,                0.63407,                0.45233,                0.66872,                0.82439,                 1.0651,                0.83824,              0.0009406,              0.0009406,              0.0009406
                      9,                0.73734,                 1.0993,                0.99861,                0.87318,                0.58432,                0.62385,                0.63885,                0.50608,                0.58432,                0.62385,                0.63749,                0.44154,                0.71231,                0.88954,                 1.2005,                0.85245,              0.0009307,              0.0009307,              0.0009307
                     10,                 0.7465,                 1.0818,                 0.9778,                0.86901,                0.55056,                0.59633,                0.58627,                0.47689,                0.55056,                0.59633,                0.58669,                0.44358,                0.71749,                0.84735,                 1.0676,                0.85157,              0.0009208,              0.0009208,              0.0009208
                     11,                0.75115,                 1.0579,                0.98922,                0.86941,                0.49588,                0.60092,                0.56046,                0.45781,                0.49588,                0.60092,                0.56046,                0.40404,                0.68357,                0.92125,                 1.2246,                0.84653,              0.0009109,              0.0009109,              0.0009109
                     12,                0.74589,                 1.0687,                0.98566,                0.86562,                0.41808,                0.76147,                 0.5514,                0.44267,                0.41808,                0.76147,                0.55115,                0.42418,                0.73104,                0.83869,                 1.1925,                0.85696,               0.000901,               0.000901,               0.000901
                     13,                0.73528,                 1.0551,                0.98007,                0.86898,                0.63674,                0.66972,                0.67167,                 0.5484,                0.63674,                0.66972,                0.67286,                0.48373,                0.67688,                 0.8258,                 1.0064,                 0.8457,              0.0008911,              0.0008911,              0.0008911
                     14,                0.75299,                  1.077,                0.97926,                0.86879,                0.55269,                0.65596,                0.63693,                0.52078,                0.55269,                0.65596,                0.63749,                0.46643,                0.67541,                0.82947,                 1.1908,                  0.844,              0.0008812,              0.0008812,              0.0008812
                     15,                0.72451,                 1.0518,                  0.954,                0.86588,                0.64551,                0.65596,                 0.6779,                  0.564,                0.64551,                0.65596,                0.67874,                0.50724,                0.66604,                0.84205,                 0.9809,                0.83727,              0.0008713,              0.0008713,              0.0008713
                     16,                0.74868,                 1.0759,                0.99021,                0.87214,                0.59026,                0.68726,                0.63705,                 0.5184,                0.57185,                0.68349,                0.62373,                0.41718,                0.69573,                0.88544,                 1.0803,                0.84678,              0.0008614,              0.0008614,              0.0008614
                     17,                0.74657,                 1.0674,                0.99647,                0.87126,                0.56726,                0.68807,                0.65387,                0.55204,                0.56726,                0.68807,                0.65381,                0.48843,                0.66689,                0.80397,                 1.0756,                0.84588,              0.0008515,              0.0008515,              0.0008515
                     18,                0.74605,                 1.0725,                0.95078,                0.87345,                0.53009,                0.73394,                 0.6442,                0.52294,                0.53009,                0.73394,                0.64365,                0.45539,                0.72523,                0.81038,                 1.0787,                0.85644,              0.0008416,              0.0008416,              0.0008416
                     19,                0.72308,                 1.0369,                0.92258,                0.87127,                0.64849,                0.62385,                0.69306,                0.56725,                0.64849,                0.62385,                0.69297,                0.50886,                0.67224,                0.82464,                 0.9833,                0.84021,              0.0008317,              0.0008317,              0.0008317
                     20,                 0.7348,                 1.0374,                0.93092,                 0.8649,                0.66974,                0.68349,                0.69667,                0.56109,                0.66974,                0.68349,                0.69537,                0.48457,                0.68642,                0.85169,                 1.0462,                0.84429,              0.0008218,              0.0008218,              0.0008218
                     21,                0.74161,                 1.0711,                0.93837,                0.86088,                0.61274,                0.69676,                 0.6772,                0.55781,                0.61274,                0.69676,                0.67793,                0.50671,                0.68706,                0.79768,                 1.0553,                0.84224,              0.0008119,              0.0008119,              0.0008119
                     22,                0.73927,                 1.0542,                0.91305,                 0.8686,                 0.5429,                0.68649,                0.62275,                0.51492,                0.54653,                0.69107,                0.62597,                0.45495,                0.68406,                0.78069,                 1.0754,                0.84222,               0.000802,               0.000802,               0.000802
                     23,                0.72385,                 1.0367,                0.91667,                0.86985,                0.52608,                0.65687,                0.60128,                0.49591,                0.52997,                0.66972,                0.60417,                0.43248,                0.66826,                0.82067,                 1.1099,                0.83684,              0.0007921,              0.0007921,              0.0007921
                     24,                0.68079,                0.99412,                0.88239,                0.86703,                0.61283,                0.59174,                0.61216,                0.49692,                0.61283,                0.59174,                0.61337,                0.44495,                0.69824,                0.85662,                 1.1334,                0.85242,              0.0007822,              0.0007822,              0.0007822
                     25,                0.73297,                 1.0563,                0.92737,                0.86588,                0.59932,                0.67431,                0.66995,                0.53809,                0.59932,                0.67431,                 0.6715,                0.47018,                0.68818,                0.82223,                 1.0616,                0.84061,              0.0007723,              0.0007723,              0.0007723
                     26,                0.72505,                 1.0223,                 0.9256,                0.85883,                0.58214,                 0.6422,                 0.6575,                0.55319,                0.58214,                 0.6422,                0.65735,                0.49873,                0.65903,                0.85128,                  1.038,                0.83777,              0.0007624,              0.0007624,              0.0007624
                     27,                0.72822,                  1.038,                0.91564,                0.86385,                 0.5847,                0.71101,                 0.6837,                0.56201,                0.58353,                0.71101,                0.68515,                0.48868,                0.66669,                0.83091,                 1.0196,                0.83552,              0.0007525,              0.0007525,              0.0007525
                     28,                0.70376,                0.96819,                0.88097,                0.85707,                0.58143,                0.67544,                0.64979,                0.54211,                0.58143,                0.67544,                0.65046,                0.47779,                 0.6679,                0.84789,                 1.0585,                0.83937,              0.0007426,              0.0007426,              0.0007426
                     29,                0.70339,                 1.0187,                0.89094,                0.85652,                0.59346,                0.70642,                0.65768,                0.53488,                0.59346,                0.70642,                0.65794,                 0.4836,                0.70408,                0.82998,                 1.0381,                0.84406,              0.0007327,              0.0007327,              0.0007327
                     30,                0.71678,                 1.0069,                0.90775,                0.86625,                0.58887,                0.70183,                0.66998,                 0.5567,                0.58502,                0.69725,                0.66735,                0.44617,                0.67192,                0.84658,                  1.057,                0.83944,              0.0007228,              0.0007228,              0.0007228
                     31,                0.71198,                 1.0102,                0.87872,                0.86249,                0.51377,                0.67431,                 0.5776,                0.47668,                0.53175,                0.66677,                0.57638,                0.41622,                0.67572,                0.85272,                 1.1066,                0.83741,              0.0007129,              0.0007129,              0.0007129
                     32,                0.69733,                 1.0021,                0.87822,                0.86014,                0.57479,                 0.6883,                0.63952,                0.52338,                0.57862,                0.69288,                0.64258,                0.46848,                0.70455,                 0.8331,                 1.0814,                0.85133,               0.000703,               0.000703,               0.000703
                     33,                0.71453,                 1.0327,                0.87313,                0.86661,                0.56899,                0.68349,                0.65368,                0.54895,                0.56899,                0.68349,                0.65439,                0.46487,                0.66508,                0.84889,                 1.0523,                0.84302,              0.0006931,              0.0006931,              0.0006931
                     34,                0.70547,                 1.0245,                0.87352,                 0.8607,                0.55933,                0.68807,                0.64316,                0.52445,                0.55933,                0.68807,                0.64397,                0.45171,                0.69369,                0.85098,                 1.0849,                0.84782,              0.0006832,              0.0006832,              0.0006832
                     35,                0.69813,                0.98304,                0.85182,                0.86188,                0.53345,                0.62844,                0.59064,                0.49458,                0.53345,                0.62844,                0.59101,                0.45163,                0.66981,                0.81087,                 1.1088,                0.84358,              0.0006733,              0.0006733,              0.0006733
                     36,                0.70631,                0.99747,                0.85199,                0.85879,                0.59633,                0.72477,                0.72411,                0.60501,                0.59633,                0.72477,                0.72554,                 0.5228,                0.65749,                0.79259,                 1.1032,                0.83379,              0.0006634,              0.0006634,              0.0006634
                     37,                0.69054,                 0.9761,                0.84844,                0.85958,                0.57422,                 0.7671,                0.68757,                0.56639,                0.57422,                 0.7671,                0.68958,                0.50424,                0.67989,                0.82154,                 1.0563,                0.84702,              0.0006535,              0.0006535,              0.0006535
                     38,                0.70355,                0.99531,                0.87711,                 0.8583,                0.59504,                0.64706,                0.66423,                0.54797,                0.59504,                0.64706,                0.66582,                0.49232,                0.67646,                0.84368,                 1.1033,                 0.8457,              0.0006436,              0.0006436,              0.0006436
                     39,                0.70194,                0.98343,                0.85448,                0.86062,                0.57036,                0.68204,                0.64387,                0.52464,                0.57036,                0.68204,                0.64438,                0.49763,                0.69124,                0.83567,                 1.0379,                0.84243,              0.0006337,              0.0006337,              0.0006337
                     40,                 0.6911,                0.97708,                0.84443,                0.85942,                0.51526,                0.65826,                0.58372,                0.47811,                0.51526,                0.65826,                0.58456,                0.43607,                0.66687,                  0.825,                 1.2312,                0.83796,              0.0006238,              0.0006238,              0.0006238
                     41,                0.69888,                0.95174,                0.84581,                0.86028,                0.60862,                0.57067,                0.62814,                 0.5037,                0.60862,                0.57067,                 0.6294,                0.44966,                0.69873,                0.80716,                 1.1538,                0.84065,              0.0006139,              0.0006139,              0.0006139
                     42,                0.69604,                 0.9977,                0.80728,                  0.858,                0.62971,                 0.7177,                0.72883,                0.60993,                0.62971,                 0.7177,                0.72803,                0.52164,                0.65368,                0.78457,                0.95693,                0.83411,               0.000604,               0.000604,               0.000604
                     43,                0.69567,                 0.9811,                0.81366,                0.85642,                0.67691,                0.62385,                0.70076,                0.56649,                0.67691,                0.62385,                0.70004,                0.49114,                0.68312,                0.80395,                 1.0666,                0.84042,              0.0005941,              0.0005941,              0.0005941
                     44,                0.70318,                0.98122,                0.83477,                0.85447,                0.66332,                0.64679,                0.71802,                0.59428,                0.66332,                0.64679,                0.71781,                0.48629,                0.64366,                 0.8221,                0.97572,                0.83712,              0.0005842,              0.0005842,              0.0005842
                     45,                0.69713,                0.97037,                0.81242,                 0.8585,                0.64008,                0.70973,                0.72589,                0.59901,                0.64008,                0.70973,                0.72738,                 0.5511,                0.68521,                0.76891,                 0.9368,                0.84424,              0.0005743,              0.0005743,              0.0005743
                     46,                0.69762,                0.96665,                0.82872,                 0.8603,                 0.6798,                0.67197,                0.72013,                0.60035,                 0.6798,                0.67197,                 0.7194,                0.51495,                0.64624,                0.78302,                0.92324,                0.83596,              0.0005644,              0.0005644,              0.0005644
                     47,                0.67344,                0.94601,                0.79803,                0.85273,                0.49145,                0.72477,                0.61879,                0.50805,                0.49145,                0.72477,                0.61942,                0.46731,                0.68255,                0.80571,                  1.061,                0.84325,              0.0005545,              0.0005545,              0.0005545
                     48,                0.67469,                0.93825,                   0.79,                0.85393,                0.60095,                0.74771,                0.71948,                0.59516,                0.60095,                0.74771,                0.72167,                0.53529,                0.66892,                0.78067,                0.98068,                0.84408,              0.0005446,              0.0005446,              0.0005446
                     49,                0.69635,                0.96954,                0.80584,                0.86253,                 0.5564,                 0.7077,                0.67041,                0.54309,                 0.5564,                 0.7077,                0.67237,                0.45684,                0.66896,                0.78958,                 1.0988,                0.83602,              0.0005347,              0.0005347,              0.0005347
                     50,                0.70626,                0.97518,                0.81645,                0.85574,                0.60581,                0.75229,                0.72374,                0.59634,                0.60581,                0.75229,                0.72657,                0.51946,                0.66386,                0.77523,                0.97136,                0.84037,              0.0005248,              0.0005248,              0.0005248
                     51,                0.67696,                0.93443,                 0.7885,                0.85189,                0.64223,                0.69725,                0.71589,                0.58996,                0.64223,                0.69725,                0.71817,                0.52484,                0.66815,                0.76221,                0.96027,                0.84323,              0.0005149,              0.0005149,              0.0005149
                     52,                0.68375,                0.98801,                0.78396,                0.85081,                0.60544,                0.69266,                0.69476,                0.57532,                0.60544,                0.69266,                0.69707,                0.50809,                0.66449,                0.80965,                 1.0054,                0.84178,               0.000505,               0.000505,               0.000505
                     53,                0.69076,                0.95745,                0.79482,                0.85578,                0.67282,                0.66055,                0.71244,                0.59284,                0.67282,                0.66055,                0.71293,                0.51359,                0.66156,                0.77343,                0.97839,                0.83896,              0.0004951,              0.0004951,              0.0004951
                     54,                0.68046,                0.96158,                0.78519,                0.85804,                0.67633,                0.63261,                0.69013,                   0.58,                0.67633,                0.63261,                0.69109,                0.49106,                0.64012,                0.78174,                0.99092,                 0.8348,              0.0004852,              0.0004852,              0.0004852
                     55,                0.68767,                0.94335,                0.77712,                0.85081,                0.62317,                0.72018,                0.72856,                0.60066,                0.62317,                0.72018,                0.73063,                0.53635,                0.68338,                0.77571,                 1.0104,                0.84109,              0.0004753,              0.0004753,              0.0004753
                     56,                0.67922,                0.95577,                0.77467,                 0.8536,                0.64759,                0.63761,                0.68617,                0.56981,                0.64759,                0.63761,                0.68794,                0.47588,                0.64577,                0.78384,                  1.101,                0.83043,              0.0004654,              0.0004654,              0.0004654
                     57,                0.66292,                 0.9269,                0.75491,                0.85575,                0.61891,                0.66514,                 0.6996,                0.57452,                0.61891,                0.66514,                0.70125,                0.49153,                0.67401,                0.77563,                 1.0784,                 0.8332,              0.0004555,              0.0004555,              0.0004555
                     58,                0.68053,                0.96267,                0.76851,                0.84455,                0.71743,                0.66385,                0.74141,                0.62146,                0.71743,                0.66385,                0.74322,                0.52174,                0.63182,                0.78587,                0.93115,                0.82853,              0.0004456,              0.0004456,              0.0004456
                     59,                0.67509,                0.93288,                0.75954,                0.85249,                0.58684,                0.70642,                0.68392,                0.57526,                0.58684,                0.70642,                0.68569,                 0.5158,                0.66791,                0.76186,                0.98632,                0.83427,              0.0004357,              0.0004357,              0.0004357
                     60,                0.68374,                0.94251,                0.77515,                0.85267,                0.54839,                0.73394,                0.68723,                0.57063,                0.54839,                0.73394,                0.68942,                0.49594,                0.65053,                0.78068,                 1.0098,                0.82795,              0.0004258,              0.0004258,              0.0004258
                     61,                0.67532,                0.95549,                0.77134,                0.85211,                0.60211,                0.72936,                0.68612,                0.57194,                0.60211,                0.72936,                0.68787,                0.49038,                0.65518,                0.79458,                 1.0006,                0.83265,              0.0004159,              0.0004159,              0.0004159
                     62,                0.67236,                0.95643,                  0.767,                0.84972,                0.66212,                0.68807,                0.71638,                0.60126,                0.66212,                0.68807,                0.71789,                0.53494,                0.67253,                0.77557,                0.97353,                0.83794,               0.000406,               0.000406,               0.000406
                     63,                0.67569,                0.92361,                0.76095,                0.84615,                0.62433,                0.71101,                0.68523,                0.57704,                0.62433,                0.71101,                0.68673,                0.50016,                0.64378,                0.78102,                 1.0115,                0.83553,              0.0003961,              0.0003961,              0.0003961
                     64,                0.66943,                 0.9225,                0.74036,                0.85127,                0.60084,                0.66055,                0.67518,                0.55762,                0.59666,                0.65596,                0.67378,                 0.4847,                0.67372,                0.78313,                  1.048,                0.84075,              0.0003862,              0.0003862,              0.0003862
                     65,                0.66139,                0.94006,                0.75126,                0.85218,                0.68844,                0.65596,                0.73661,                0.61666,                0.68844,                0.65596,                0.73834,                0.52507,                0.66192,                0.76291,                0.94545,                0.83868,              0.0003763,              0.0003763,              0.0003763
                     66,                0.67296,                0.91698,                0.75363,                0.84792,                0.68811,                0.64772,                0.74192,                0.61697,                0.68811,                0.64772,                0.74321,                0.53939,                0.67972,                0.76896,                 0.9271,                 0.8417,              0.0003664,              0.0003664,              0.0003664
                     67,                0.66034,                0.92371,                0.74531,                0.84987,                0.58039,                0.74312,                0.72547,                0.60811,                0.56836,                0.75688,                0.72729,                0.53027,                0.66102,                 0.7923,                0.93531,                0.84035,              0.0003565,              0.0003565,              0.0003565
                     68,                0.65278,                0.91966,                0.71324,                0.84917,                0.66262,                0.66972,                0.72718,                0.60145,                0.66262,                0.66972,                0.72996,                0.52248,                0.67499,                 0.7753,                0.96274,                0.83758,              0.0003466,              0.0003466,              0.0003466
                     69,                0.65206,                0.92474,                0.72826,                0.85156,                0.62587,                 0.7156,                0.74049,                0.62422,                0.62587,                 0.7156,                0.74108,                0.53252,                 0.6392,                0.77027,                0.92506,                 0.8311,              0.0003367,              0.0003367,              0.0003367
                     70,                0.67206,                0.92227,                0.73612,                0.84467,                0.70711,                0.59633,                0.70581,                0.58219,                0.57266,                 0.7438,                0.70677,                0.50345,                0.68241,                0.78111,                 1.0129,                0.83725,              0.0003268,              0.0003268,              0.0003268
                     71,                0.67125,                0.92392,                0.73027,                0.84694,                0.55934,                0.75688,                0.71791,                0.60055,                0.56273,                0.76147,                0.72019,                0.50965,                 0.6427,                0.76819,                 0.9587,                 0.8309,              0.0003169,              0.0003169,              0.0003169
                     72,                0.66231,                0.91173,                0.71894,                0.85154,                0.61627,                0.68349,                0.71696,                 0.5932,                0.61627,                0.68349,                 0.7194,                0.52289,                0.66275,                0.75367,                 0.9563,                0.83584,               0.000307,               0.000307,               0.000307
                     73,                0.65178,                0.89487,                  0.711,                0.84691,                0.70657,                0.65171,                0.75262,                0.63542,                0.70657,                0.65171,                0.75473,                0.55794,                0.65034,                0.73288,                0.89101,                0.83281,              0.0002971,              0.0002971,              0.0002971
                     74,                0.66078,                0.88732,                0.71467,                0.84333,                0.76895,                0.65644,                0.77367,                 0.6551,                0.76895,                0.65644,                0.77598,                0.55697,                0.62551,                0.74681,                0.87098,                0.82959,              0.0002872,              0.0002872,              0.0002872
                     75,                0.65355,                0.90345,                0.72145,                0.84171,                0.62652,                0.70183,                0.74195,                0.61944,                0.62652,                0.70183,                0.74252,                0.52273,                0.63084,                0.77006,                0.92496,                0.83167,              0.0002773,              0.0002773,              0.0002773
                     76,                0.65444,                0.92379,                0.70478,                0.84861,                0.62308,                0.68807,                0.73665,                0.61415,                0.62308,                0.68807,                 0.7384,                0.53518,                0.65396,                0.73305,                 0.9203,                0.83577,              0.0002674,              0.0002674,              0.0002674
                     77,                0.66188,                0.92074,                0.72254,                0.84825,                0.57447,                0.72018,                0.71792,                0.59409,                 0.5829,                0.70642,                0.71772,                0.51312,                0.64194,                0.72921,                 1.0239,                0.83112,              0.0002575,              0.0002575,              0.0002575
                     78,                0.65094,                0.90378,                0.69389,                0.84371,                0.63596,                0.69725,                0.72442,                0.60252,                0.63354,                0.69725,                0.72524,                0.51894,                 0.6418,                0.74125,                0.94915,                0.83177,              0.0002476,              0.0002476,              0.0002476
                     79,                0.65315,                 0.9111,                0.69136,                0.84616,                 0.6535,                 0.6422,                0.70079,                0.58159,                0.65324,                 0.6422,                0.70207,                0.50678,                0.64312,                0.75414,                 1.0041,                0.83594,              0.0002377,              0.0002377,              0.0002377
                     80,                0.66065,                0.89581,                0.68633,                0.84466,                0.63662,                0.65095,                0.68634,                0.56538,                0.63229,                0.65138,                0.68864,                0.50449,                0.66107,                0.73464,                  1.066,                0.83819,              0.0002278,              0.0002278,              0.0002278
                     81,                0.64868,                0.91044,                0.69649,                0.84266,                0.65339,                0.61009,                0.68514,                0.57242,                0.65339,                0.61009,                0.68808,                0.51481,                0.64783,                 0.7313,                 1.0337,                0.83606,              0.0002179,              0.0002179,              0.0002179
                     82,                0.66534,                0.91265,                0.68633,                0.84575,                0.58552,                0.69725,                0.71344,                0.59458,                0.58552,                0.69725,                0.71422,                0.53018,                0.65409,                0.74267,                 1.0001,                0.83619,               0.000208,               0.000208,               0.000208
